subID,age,total_session_time,total_speech_time,#babyname,#token,#uniqueWord,#utterance,#noun,#verb,#adjective,type_token_ratio,mean_utterance_dur,mean_utterance_token_length
6502,18.2,184.893677,122.243399,5,518,125,56,92,88,9,0.241312741312741,2.14462103508772,9.29824561403509
6503,18.3,126.94362,70.634702,1,219,73,36,50,43,12,0.333333333333333,1.96207505555556,6.08333333333333
6504,18,231.766003,140.265391,17,448,97,76,97,82,11,0.216517857142857,1.82162845454545,5.85714285714286
6505,20.4,170.607873,83.4035420000001,0,302,96,54,57,53,11,0.317880794701987,1.54451003703704,5.59259259259259
6508,18.3,225.873409,108.350374,3,346,85,69,73,50,13,0.245664739884393,1.54786248571429,5.04285714285714
6509,19.3,149.100255,93.155602,1,340,110,40,70,55,11,0.323529411764706,2.27208785365854,8.34146341463415
6510,24.6,240.161147,143.600609,0,533,110,79,99,90,16,0.206378986866792,1.8177292278481,6.74683544303798
6511,19,140.153363,64.9397360000001,0,225,75,52,44,35,8,0.333333333333333,1.24884107692308,4.32692307692308
6514,18.3,195.14996,141.588916,0,471,122,58,64,95,15,0.259023354564756,2.39981213559322,8.11864406779661
6515,19.1,471.50108,145.306849,15,534,120,85,102,78,18,0.224719101123595,1.70949234117647,6.28235294117647
6516,18.8,111.943625,78.641066,0,309,116,30,46,58,6,0.375404530744337,2.53680858064516,10.0322580645161
6601,18.3,194.14779,108.811416,1,309,111,55,63,55,6,0.359223300970874,1.97838938181818,5.61818181818182
6602,18.2,69.792606,45.462579,0,153,66,20,26,31,4,0.431372549019608,2.16488471428572,7.66666666666667
6603,18.3,161.968387,93.512892,0,290,108,40,49,57,7,0.372413793103448,2.28080224390244,7.09756097560976
6604,18,209.036904,108.242964,0,400,114,67,80,71,13,0.285,1.61556662686567,5.95522388059702
6605,20.4,205.023358,110.100611,0,372,126,49,78,56,8,0.338709677419355,2.24695124489796,7.57142857142857
6606,18.9,185.11002,82.74271,0,262,93,61,50,40,6,0.354961832061069,1.35643786885246,4.29508196721311
6607,18.2,253.2599,152.118193,0,545,120,83,77,129,11,0.220183486238532,1.81093086904762,6.52380952380952
6608,18.3,199.949477,119.321854,1,375,102,52,78,54,7,0.272,2.29465103846154,7.21153846153846
6609,19.3,236.43327,134.148627,0,528,152,53,103,89,4,0.287878787878788,2.53110616981132,9.94339622641509
6610,24.6,204.722228,141.010652,1,447,120,54,74,82,10,0.268456375838926,2.61130837037037,8.27777777777778
6611,19,112.433181,58.118918,0,199,82,44,29,32,11,0.412060301507538,1.3208845,4.52272727272727
6612,18,417.647049,207.117012,6,781,162,133,142,137,17,0.207426376440461,1.55727076691729,5.87218045112782
6613,18.8,78.192171,61.182339,1,237,88,24,40,45,8,0.371308016877637,2.44729356,9.52
6701,18.3,175.978971,97.6690779999999,1,291,121,55,49,49,27,0.415807560137457,1.77580141818182,5.29090909090909
6702,18.2,164.711806,106.340515,0,394,112,38,67,59,11,0.284263959390863,2.79843460526316,10.3684210526316
6705,20.4,196.862847,97.390985,0,316,102,45,63,59,13,0.322784810126582,2.16424411111111,7.02222222222222
6708,18.3,141.99795,55.870992,1,141,54,36,28,17,8,0.382978723404255,1.51002681081081,4.27027027027027
6711,19,109.639887,54.912346,0,212,87,45,30,44,13,0.410377358490566,1.22027435555555,4.71111111111111
6715,19.1,81.750369,48.508345,3,178,65,27,35,30,17,0.365168539325843,1.79660537037037,6.59259259259259
6716,18.8,266.937536,134.085262,0,406,131,63,74,73,19,0.322660098522167,2.1283374920635,6.44444444444444
6801,18.3,294.065424,169.244887,1,556,162,91,102,101,25,0.29136690647482,1.85983392307692,6.10989010989011
6804,18,243.84622,169.72993,4,583,147,77,99,113,16,0.252144082332762,2.20428480519481,7.53246753246753
6805,20.4,221.541519,108.622547,0,472,151,59,82,93,7,0.319915254237288,1.84106011864407,8
6810,24.6,271.152307,162.584379,1,556,154,83,92,89,24,0.276978417266187,1.93552832142857,6.80952380952381
6902,18.2,193.50752,78.117225,1,238,86,27,52,34,16,0.361344537815126,2.78990089285714,8.67857142857143
6903,18.3,226.004374,143.782686,0,413,125,57,86,62,20,0.302663438256659,2.47901182758621,7.18965517241379
6904,18,182.208046,94.8420669999999,0,283,89,63,52,49,16,0.314487632508834,1.481907296875,4.5
6905,20.4,177.502109,75.521529,0,250,98,52,57,38,13,0.392,1.45233709615385,4.80769230769231
6906,18.9,205.549666,76.0938610000001,0,247,80,57,70,29,17,0.323886639676113,1.33498001754386,4.33333333333333
6908,18.3,202.359869,108.623994,0,297,93,56,71,27,14,0.313131313131313,1.90568410526316,5.28070175438596
6910,24.6,149.552592,66.635394,0,188,77,37,36,27,7,0.409574468085106,1.753563,5.23684210526316
6911,19,263.989427,138.593116,0,480,141,108,94,71,15,0.29375,1.28326959259259,4.44444444444444
6912,18,559.011336,234.891961,6,909,177,158,178,147,39,0.194719471947195,1.47730793081761,5.76100628930818
6916,18.8,180.785213,124.302182,2,421,124,67,100,74,15,0.294536817102138,1.82797326470588,6.33823529411765
